Datetime,,total
2018,09:30:00,1268.745999126682
2018,09:40:00,1076.16116953875
2018,09:45:00,1276.0881606466364
2018,09:50:00,1098.219001846875
2018,10:00:00,1299.3592435742273
2018,10:10:00,1090.533244453125
2018,10:15:00,1301.5871328487274
2018,10:20:00,1034.6532017943748
2018,10:30:00,1321.047621551091
2018,10:40:00,1078.9201229943749
2018,10:45:00,1325.5439465050454
2018,10:50:00,1115.8683750609375
2018,11:00:00,1303.099272445091
2018,11:10:00,1106.126164325625
2018,11:15:00,1306.2349620634545
2018,11:20:00,1135.8765682078124
2018,11:30:00,1331.2920650302274
2018,11:40:00,1159.205650618125
2018,11:45:00,1325.8358649978181
2018,11:50:00,1170.1790331121874
2018,12:00:00,1320.6908518530454
2018,12:10:00,1171.9242537478124
2018,12:15:00,1334.7578735731365
2018,12:20:00,1204.132240685625
2018,12:30:00,1337.4091133671818
2018,12:40:00,1238.3289721865624
2018,12:45:00,1334.0146087953183
2018,12:50:00,1207.7377896806252
2018,13:00:00,1339.2457749138182
2018,13:10:00,1185.2728642509376
2018,13:15:00,1345.2581883402727
2018,13:20:00,1191.98561664
2018,13:30:00,1347.7023219619998
2018,13:40:00,1261.5368065875
2018,13:45:00,1329.7783453776365
2018,13:50:00,1213.899540913125
2018,14:00:00,1344.6990756071818
2018,14:10:00,1296.8288541721877
2018,14:15:00,1357.8375599098183
2018,14:20:00,1285.0675812909374
2018,14:30:00,1338.3629529579546
2018,14:40:00,1296.7821241875
2018,14:45:00,1327.006148720773
2018,14:50:00,1269.9688752309373
2018,15:00:00,1322.8128351984546
2018,15:10:00,1283.6312148684376
2018,15:15:00,1305.5039322822727
2018,15:20:00,1308.844929230625
2018,15:30:00,1302.6046294070454
2018,15:40:00,1313.0489331759375
2018,15:45:00,1321.4413893148637
2018,15:50:00,1300.2889387228126
2018,16:00:00,1339.8022498975
2018,16:10:00,1321.6923161615625
2018,16:15:00,1289.2811063330455
2018,16:20:00,1278.6674913018749
2018,16:30:00,1288.5027063768637
2018,16:40:00,1366.3501779075
2018,16:45:00,1285.1122206387727
2018,16:50:00,1364.956260928125
2018,17:00:00,1277.6758793039999
2018,17:10:00,1391.0186265815626
2018,17:15:00,1232.1145091908181
2018,17:20:00,1360.9027022587502
2018,17:30:00,1214.1153036765454
2018,17:40:00,1400.511027733125
2018,17:45:00,1212.7722972488182
2018,17:50:00,1339.7837790600001
2018,18:00:00,1189.6971085962728
2018,18:10:00,1357.454717799375
2018,18:15:00,1147.3353845419092
2018,18:20:00,1370.9818190606252
2018,18:30:00,1111.4912519296363
2018,18:40:00,1353.8318112346874
2018,18:45:00,1083.3481940133636
2018,18:50:00,1376.761721938125
2018,19:00:00,1075.317787728
2018,19:05:00,1315.36883115
2018,19:10:00,1383.215010704
2018,19:15:00,1086.9651152645454
2018,19:20:00,1362.22411000125
2018,19:30:00,1056.3103183381722
2018,19:40:00,1356.593906548125
2018,19:45:00,1030.806825170846
2018,19:50:00,1335.546001809375
2018,20:00:00,1023.0446681686858
2018,20:10:00,1311.46990007
2018,20:15:00,1021.7569135823111
2018,20:20:00,1329.311519368
2018,20:30:00,1017.6948758476133
2018,20:40:00,1321.812086036
2018,20:45:00,1004.3765429345619
2018,20:50:00,1326.890883838
2018,21:00:00,988.6348139085952
2018,21:10:00,1265.648891406
2018,21:15:00,997.3460312183382
2018,21:20:00,1231.779855056
2018,21:30:00,1005.4390727328852
2018,21:40:00,1198.480707764
2018,21:45:00,974.4440625042146
2018,21:50:00,1176.337190828
2018,22:00:00,969.081516180497
2018,22:10:00,1149.907464267
2018,22:15:00,958.8504266375675
2018,22:20:00,1083.155614095
2018,22:30:00,955.8063276837388
2018,22:40:00,1136.343482256
2018,22:45:00,947.2837898745045
