Datetime,,total
2018,12:15:00,1582.3199985825001
2018,12:20:00,1326.0892857899998
2018,12:30:00,1575.142397625
2018,12:40:00,1414.5529720499999
2018,12:45:00,1622.234998515
2018,12:50:00,1376.11221582375
2018,13:00:00,1629.9213428512498
2018,13:10:00,1321.587272625
2018,13:15:00,1604.1374995762499
2018,13:20:00,1342.5487337737502
2018,13:30:00,1663.1554687875
2018,13:40:00,1425.6810795449999
2018,13:45:00,1592.8729166775001
2018,13:50:00,1428.7031249624997
2018,14:00:00,1599.9589325062498
2018,14:10:00,1438.3231206674998
2018,14:15:00,1643.7150000000001
2018,14:20:00,1417.19716117125
2018,14:30:00,1612.9396682025001
2018,14:40:00,1456.1477840925002
2018,14:45:00,1597.3924947
2018,14:50:00,1372.18229175
2018,15:00:00,1589.4682444875
2018,15:10:00,1442.69156253
2018,15:15:00,1604.5918800074999
2018,15:20:00,1477.5294643462498
2018,15:30:00,1575.1840440075
2018,15:40:00,1529.948011305
2018,15:45:00,1593.22857068625
2018,15:50:00,1538.8181249699999
2018,16:00:00,1627.00446426375
2018,16:10:00,1524.9082791787498
2018,16:15:00,1556.89285689375
2018,16:20:00,1482.47256489375
2018,16:30:00,1570.244583345
2018,16:40:00,1635.72375001125
2018,16:45:00,1569.069996075
2018,16:50:00,1607.4602272387501
2018,17:00:00,1555.75000281375
2018,17:10:00,1610.9034091125002
2018,17:15:00,1467.64946428875
2018,17:20:00,1639.20104167875
2018,17:30:00,1448.4641964749999
2018,17:40:00,1640.35284099375
2018,17:45:00,1478.88750113625
2018,17:50:00,1545.6522727050003
2018,18:00:00,1433.38178565
2018,18:10:00,1559.0135451112499
2018,18:15:00,1389.7650000375
2018,18:20:00,1561.6290909375
2018,18:30:00,1310.550001665
2018,18:40:00,1593.14999991375
2018,18:45:00,1258.8168769349998
2018,18:50:00,1584.78503799
2018,19:00:00,1259.65798223625
2018,19:05:00,1315.36883115
2018,19:10:00,1619.9506584599999
2018,19:15:00,1258.1249999625
2018,19:20:00,1501.3774700175
2018,19:30:00,1200.83749995
2018,19:40:00,1414.6428846112499
2018,19:45:00,1185.9464246775
2018,19:50:00,1411.29550701
2018,20:00:00,1150.4249978624998
2018,20:10:00,1437.243505275
2018,20:15:00,1165.5
2018,20:20:00,1454.67838287
2018,20:30:00,1161.9140571375
2018,20:40:00,1509.9255682350001
2018,20:45:00,1134.675005325
2018,20:50:00,1455.896874945
2018,21:00:00,1114.412503905
2018,21:10:00,1324.15681815
2018,21:15:00,1124.775
2018,21:20:00,1304.7431817675001
2018,21:30:00,1125.6750029475
2018,21:40:00,1275.5870130225
2018,21:45:00,1107.43625124
2018,21:50:00,1221.71758245
2018,22:00:00,1106.5500020250001
2018,22:10:00,1219.793181795
2018,22:15:00,1097.175001965
2018,22:20:00,1210.207840875
2018,22:30:00,1101.000002955
2018,22:40:00,1281.8869318574998
2018,22:45:00,1078.3499993849998
2018,22:50:00,1260.21637990125
2018,23:00:00,1068.75
2018,23:10:00,1175.099196465
2018,23:15:00,1076.9999970600002
2018,23:20:00,1197.2988636750001
2018,23:30:00,1105.350000945
2018,23:40:00,1248.6881547525
2018,23:45:00,1117.423684245
2018,23:50:00,1127.8326950925
2019,00:00:00,788.8125000000001
2019,00:15:00,764.2618750500001
2019,00:30:00,766.53191442
2019,00:45:00,771.30625005
2019,01:00:00,755.004151965
2019,01:15:00,751.54268385
2019,01:30:00,745.02551206125
2019,01:45:00,763.7829605287501
2019,02:00:00,749.2604053875001
2019,02:15:00,751.0832510662501
2019,02:30:00,757.279839735
2019,02:45:00,740.47102275375
2019,03:00:00,744.20238255
2019,03:15:00,733.52166668625
2019,03:30:00,745.5457108125
2019,03:45:00,726.76752885
2019,04:00:00,740.1558333225
2019,04:15:00,744.0025000275
2019,04:30:00,745.3444078274999
2019,04:45:00,757.184342175
2019,05:00:00,764.9168750025001
2019,05:15:00,758.95308951
2019,05:30:00,759.713648895
2019,05:45:00,780.482862375
2019,06:00:00,783.087368355
2019,06:15:00,798.5546254875
2019,06:30:00,794.2935897300001
2019,06:45:00,819.3531547425
2019,07:00:00,827.61973687125
2019,07:15:00,879.5490103950001
2019,07:30:00,894.6880576499999
2019,07:45:00,897.29743425
2019,08:00:00,935.71997295
2019,08:15:00,931.2256249124999
2019,08:30:00,956.4553983
2019,08:45:00,997.0970136825001
2019,09:00:00,979.8050471775
2019,09:15:00,1005.7678043024999
2019,09:30:00,1026.8552760974999
2019,09:45:00,1053.29608855125
2019,10:00:00,1068.68149035375
2019,10:15:00,1105.035789435
2019,10:30:00,1126.9456985625002
2019,10:45:00,1138.7806694624999
2019,11:00:00,1175.9657072587502
2019,11:15:00,1209.4327083224998
2019,11:30:00,1202.26096095375
2019,11:45:00,1193.8879983975
2019,12:00:00,1226.9856250050002
2019,12:15:00,1214.91477273
2019,12:30:00,1244.686360365
2019,12:45:00,1250.8171787400001
2019,13:00:00,1248.8070312525
2019,13:15:00,1265.82937497
2019,13:30:00,1247.7161595225
2019,13:45:00,1269.1883914875002
2019,14:00:00,1303.5551137124999
2019,14:15:00,1260.4016775675
